"Αττικής-Αγία Βαρβάρα","2105625366","23.65230","37.98777","12351","Αγία Βαρβάρα","Κερκύρας","30"
"Αττικής-Άγιος Δημήτριος","2109750030","23.74018","37.94153","17343","Άγιος Δημήτριος","Λεωφόρος Βουλιαγμένης","268"
"Αττικής-Άγιος Δημήτριος","2109912150","23.72917","37.91833","17342","Άγιος Δημήτριος","Θεομήτορος","38"
"Αττικής-Άγιος Δημήτριος","2109767280","23.72976","37.93621","17343","Άγιος Δημήτριος","Λεωφόρος Αγίου Δημητρίου","161"
"Αττικής-Άγιος Δημήτριος","2109715482","23.73764","37.94911","17343","Άγιος Δημήτριος","Στριγγάρη","7"
"Αττικής-Άγιος Δημήτριος","2109888939","23.72343","37.92347","17342","Άγιος Δημήτριος","Λεωφόρος Αγίου Δημητρίου","298"
"Αττικής-Άγιος Δημήτριος","2109961458","23.73444","37.93000","17342","Άγιος Δημήτριος","Λιδορικίου","3"
"Αττικής-Άγιος Ιωάννης Ρέντης","2104900519 ","23.65740","37.96247","18233","Άγιος Ιωάννης Ρέντης","Θηβών ","119"
"Αττικής-Αθήνα","2108661177","23.74453","38.00284","11363","Αθήνα","Βελβενδού","25"
"Αττικής-Αθήνα","2109230382","23.72540","37.95898","11745","Αθήνα","Σαρκουδίνου","12"
"Αττικής-Αθήνα","2105150377 ","23.71654","38.00278","10443","Αθήνα","Δόρδου","16"
"Αττικής-Αθήνα","2109213043 ","23.72389","37.96417","11741","Αθήνα","Δημητρακοπούλου","72"
"Αττικής-Αθήνα","2107714403","23.75892","37.98033","11528","Αθήνα","Παπαδιαμαντοπούλου","57"
"Αττικής-Αθήνα","2109013201","23.72275","37.95407","11745","Αθήνα","Μπακνανά","24"
"Αττικής-Αθήνα","2108820518","23.74736","37.99646","11363","Αθήνα","Αγίου Στεφάνου","2"
"Αττικής-Αθήνα","2106928022","23.76889","37.99500","11526","Αθήνα","Σεβαστουπόλεως","135"
"Αττικής-Αθήνα","2102922078","23.74298","38.02440","11142","Αθήνα","Τραλλέων+Ολοφύτου",""
"Αττικής-Αθήνα","2103842805","23.74034","37.98658","11473","Αθήνα","Χαριλάου Τρικούπη","111"
"Αττικής-Αθήνα","2107018316","23.74412","37.96794","11635","Αθήνα","Πλατεία Πλαστήρα","5"
"Αττικής-Αθήνα","2105144660","23.71767","37.99500","10444","Αθήνα","Βορείου Ηπείρου","37"
"Αττικής-Αθήνα","2109232451","23.73052","37.96346","11743","Αθήνα","Ευδόξου","1"
"Αττικής-Αθήνα","2109013830","23.73797","37.95695","11631","Αθήνα","Γεωργίου Καφαντάρη","33"
"Αττικής-Αθήνα","2108211293","23.73824","37.99960","11361","Αθήνα","Αγίου Μελετίου","6"
"Αττικής-Αθήνα","2103414474","23.70806","37.96695","11853","Αθήνα","Θεσσαλονίκης","190"
"Αττικής-Αθήνα","2106921777","23.76117","37.99252","11524","Αθήνα","Πανόρμου","75"
"Αττικής-Αθήνα","2107525102 ","23.74452","37.96091","11632","Αθήνα","Δικαιάρχου+Ιλιάδος",""
"Αττικής-Αθήνα","2108833273","23.72532","37.99463","10440","Αθήνα","Μιχαήλ Βόδα","67"
"Αττικής-Αθήνα","2108641404","23.73242","38.00421","11252","Αθήνα","Λευκωσίας","17"
"Αττικής-Αθήνα","2106997266","23.76396","37.99225","11523","Αθήνα","Λαρίσης","20"
"Αττικής-Αθήνα","2107516991","23.75014","37.96418","11633","Αθήνα","Φρύνης","48"
"Αττικής-Αθήνα","2108314400","23.72234","38.00736","10445","Αθήνα","Λιοσίων","261"
"Αττικής-Αιγάλεω","2105698301","23.67505","37.98679","12241","Αιγάλεω","Θηβών","310"
"Αττικής-Αλιμος","2109889802","23.71712","37.91542","17455","Άλιμος","Λεωφόρος Καλαμακίου","63"
"Αττικής-Άλιμος","2109851219","23.71194","37.91306","17455","Άλιμος","Θουκυδίδου","42"
"Αττικής-Άλιμος","2109816030","23.72398","37.91379","17455","Άλιμος","Αγίου Δημητρίου","46"
"Αττικής-Ανοιξη","2108142735","23.85771","38.12976","14569","Άνοιξη","Λεωφόρος Μαραθώνος","41"
"Αττικής-Αργυρούπολη","2109901330","23.74389","37.91306","16452","Αργυρούπολη","Λέοντος","4"
"Αττικής-Ασπρόπυργος","2105579200","23.58941","38.05504","19300","Ασπρόπυργος","Γεωργίου Παπανδρέου",""
"Αττικής-Αχαρναί","2102477590","23.75000","38.09611","13671","Αχαρναί","Λεωφόρος Κωνσταντίνου Καραμανλή ","97"
"Αττικής-Βάρη","2109653160","23.80295","37.81914","16672","Βάρη","Λεωφόρος Ποσειδώνος","10"
"Αττικής-Βάρη","2109689643","23.79479","37.83486","16672","Βάρη","Λεωφόρος Βάρης-Κορωπίου","139"
"Αττικής-Βουλιαγμένη","2109671650","23.77823","37.81497","16671","Βουλιαγμένη","Ρέας","2"
"Αττικής-Γαλάτσι","2102925911","23.75328","38.02039","11146","Γαλάτσι","Παπαφλέσσα","32"
"Αττικής-Γαλάτσι","2102911780","23.75314","38.01158","11147","Γαλάτσι","Ελευθερίου Βενιζέλου","8"
"Αττικής-Γαλάτσι","2102130660","23.74750","38.01361","11146","Γαλάτσι ","Λεωφόρος Γαλατσίου","90"
"Αττικής-Γέρακας","2106393090","23.85219","38.02876","15344","Γέρακας","Ερμού","9"
"Αττικής-Γλυφάδα","2109680504","23.76623","37.85417","17237","Γλυφάδα","Λεωφόρος Βουλιαγμένης","174"
"Αττικής-Γλυφάδα","2109651635","23.76417","37.87194","16674","Γλυφάδα","Δημητρίου Γούναρη","185"
"Αττικής-Γλυφάδα","2109640502","23.76528","37.89167","16562","Γλυφάδα","Γεωργίου Γεννηματά","56"
"Αττικής-Δραπετσώνα","2104634810","23.63009","37.95038","18648","Δραπετσώνα","Σωκράτους","48"
"Αττικής-Ελευσίνα","2105548342","23.54045","38.04642","19200","Ελευσίνα","Δήμητρος","26"
"Αττικής-Ελληνικό","2109631992 ","23.75437","37.89230","16777","Ελληνικό","Ιασωνίδου ","51"
"Αττικής-Ζωγράφου","2107754604","23.76771","37.98077","15773","Ζωγράφου","Γεωργίου Παπανδρέου","52"
"Αττικής-Ζωγράφου","2107755116","23.76174","37.97682","15771","Ζωγράφου","Ούλωφ Πάλμε+Περιάνδρου",""
"Αττικής-Ηλιούπολη","2109766801","23.74884","37.94278","16346","Ηλιούπολη","Λεωφόρος Μαρίνου Αντύπα","36"
"Αττικής-Ιλιον","2102626456","23.71397","38.03018","13122","Ίλιον","Ιλίου","11"
"Αττικής-Ίλιον","2102616476","23.70048","38.03025","13123","Ίλιον","Θηβών","489"
"Αττικής-Καισαριανή","2107244546","23.76081","37.96799","16121","Καισαριανή","Λεωφόρος Εθνικής Αντιστάσεως","101"
"Αττικής-Καλλιθέα","2109577018","23.70611","37.95972","17676","Καλλιθέα","Αραπάκη","11"
"Αττικής-Καλλιθέα","2109564117","23.71218","37.96215","17671","Καλλιθέα","Λεωφόρος Ελευθερίου Βενιζέλου","33"
"Αττικής-Καλλιθέα","2109405400","23.68665","37.94829","17675","Καλλιθέα","Ευρυπίδου","69"
"Αττικής-Καλλιθέα","2109570758","23.70738","37.95599","17672","Καλλιθέα","Σοφοκλέους","99"
"Αττικής-Καλλιθέα","2109578848","23.69361","37.95472","17675","Καλλιθέα","Λυκούργου","176"
"Αττικής-Καματερό","2102310130","23.71380","38.06340","13451","Καματερό","Λεωφόρος Φυλής","217"
"Αττικής-Καπανδρίτι","2295029096","23.87696","38.21607","19014","Καπανδρίτι","Πλατεία Καπανδριτίου",""
"Αττικής-Κερατσίνι","2104008432","23.61157","37.96187","18756","Κερατσίνι","Λεωφόρος Δημοκρατίας","200"
"Αττικής-Κηφισιά","2106209871","23.80034","38.08711","14564","Κηφισιά","Ελαιών","2"
"Αττικής-Κηφισιά","2106257560","23.81262","38.10084","14564","Κηφισιά","Λεωφόρος Τατοΐου","159"
"Αττικής-Κορωπί","2106628930","23.87892","37.89487","19400","Κορωπί","Λεωφόρος Βασιλέως Κωνσταντίνου","291"
"Αττικής-Λυκόβρυση","2102848188","23.78123","38.06304","14123","Λυκόβρυση","Λεωφόρος Αμαρουσίου+Λέλας Καραγιάννη","38"
"Αττικής-Μελίσσια","2106096605","23.84072","38.04730","15127","Μελίσσια","Λεωφόρος Πεντέλης","146"
"Αττικής-Μελίσσια","2108043636","23.83897","38.05443","15127","Μελίσσια","Ελευθερίου Βενιζέλου","16"
"Αττικής-Μοσχάτο","2104834710","23.67944","37.95333","18345","Μοσχάτο","Στρατηγού Μακρυγιάννη","100"
"Αττικής-Νέα Ερυθραία","2106250777","23.82176","38.09170","14671","Νέα Ερυθραία","Ελευθερίου Βενιζέλου+Φλέμινγκυ",""
"Αττικής-Νέα Ιωνία","2102720310","23.77933","38.03641","14235","Νέα Ιωνία","Μεσσηνίας","31"
"Αττικής-Νέα Ιωνία","2102723317","23.77111","38.03797","14235","Νέα Ιωνία","Κασταμονής","67"
"Αττικής-Νέα Σμύρνη","2109333392","23.72050","37.94312","17124","Νέα Σμύρνη","Δαρδανελλίων","66"
"Αττικής-Νέα Σμύρνη","2109338811","23.71853","37.95109","17121","Νέα Σμύρνη","Αιγαίου","41"
"Αττικής-Νέα Σμύρνη","2109370509","23.71630","37.93702","17123","Νέα Σμύρνη","Πλατεία Ηρώων Κύπρου","3"
"Αττικής-Νέα Χαλκηδόνα","2102516840","23.73070","38.02768","14343","Νέα Χαλκηδόνα","Αχαρνών","467"
"Αττικής-Νέο Φάληρο","2104835318","23.66917","37.94694","18547","Νέο Φάληρο","Σμολένσκυ","18"
"Αττικής-Νέο Ψυχικό","2106714036","23.78682","38.00728","15451","Νέο Ψυχικό","25ης Μαρτίου","48"
"Αττικής-Νίκαια","2104909684","23.65128","37.96848","18450","Νίκαια","7ης Μαρτίου 1944","23"
"Αττικής-Νίκαια","2104935737","23.63614","37.97927","18452","Νίκαια","Περικλέους","31"
"Αττικής-Παλαιό Φάληρο","2109818432","23.69866","37.92301","17562","Παλαιό Φάληρο","Αμφιτρίτης","57"
"Αττικής-Παλαιό Φάληρο","2109852640 ","23.70718","37.92861","17455","Παλαιό Φάληρο","Αχιλλέως","98"
"Αττικής-Παλαιό Φάληρο","2109817438","23.71104","37.92219","17455","Παλαιό Φάληρο","Αγίας Βαρβάρας","38"
"Αττικής-Παλαιό Φάληρο","2109858914","23.71040","37.92612","17455","Παλαιό Φάληρο","Τερψιθέας","45"
"Αττικής-Πειραιάς","2104520554","23.63624","37.93069","18539","Πειραιάς","Ηροδότου","113"
"Αττικής-Πειραιάς","2104512434","23.64568","37.93650","18536","Πειραιάς","Ακτή Μουτσοπούλου","48"
"Αττικής-Πειραιάς","2104823424","23.66181","37.95094","18541","Πειραιάς","Λεωφόρος Αθηνών-Πειραιώς","87"
"Αττικής-Πειραιάς","2104291170 ","23.63874","37.93620","18538","Πειραιάς","Χατζηκυριάκου","24"
"Αττικής-Πειραιάς","2104100038 ","23.64972","37.94611","18532","Πειραιάς","34ου Συντάγματος Πεζικού","19"
"Αττικής-Πειραιάς","2104082220","23.64117","37.95709","18544","Πειραιάς","Αντιπλοιάρχου Βλαχάκου","79"
"Αττικής-Πειραιάς","2104522194","23.64636","37.93938","18535","Πειραιάς","2ας Μεραρχίας","30"
"Αττικής-Περιστέρι","2105713094","23.70951","38.00495","12132","Περιστέρι","Λεωφόρος Κηφισού","80"
"Αττικής-Περιστέρι","2105720312","23.68836","38.01601","12135","Περιστέρι","Δωδεκανήσου","61"
"Αττικής-Περιστέρι","2105753160","23.68827","38.02751","12135","Περιστέρι","Προμάχου","8"
"Αττικής-Περιστέρι","2105710055","23.69701","38.00651","12131","Περιστέρι","Δημητρίου Γούναρη","10"
"Αττικής-Περιστέρι","2105780351","23.70138","38.01731","12133","Περιστέρι","Μωρογιάννη","66"
"Αττικής-Πετρούπολη","2105012822","23.67431","38.03785","13231","Πετρούπολη","Περικλέους","127"
"Αττικής-Πετρούπολη","2105060682","23.68416","38.04229","13231","Πετρούπολη","25ης Μαρτίου","79"
"Αττικής-Πετρούπολη","2105068292","23.68578","38.03789","13231","Πετρούπολη","Ανατολικής Ρωμυλίας","123"
"Αττικής-Πετρούπολη","2105065882","23.68010","38.04414","13231","Πετρούπολη","25ης Μαρτίου","40"
"Αττικής-Πικέρμι","2106043350 ","23.93592","37.99978","19009","Πικέρμι","Λεωφόρος Μαραθώνος","4"
"Αττικής-Ταύρος","Athens Heart-2103410310","23.70174","37.96988","17778","Ταύρος","Πειραιώς","180"
"Αττικής-Χαϊδάρι","2105810350","23.65975","38.01262","12462","Χαϊδάρι","Λεωφόρος Αθηνών","266"
"Αττικής-Χαλάνδρι","2106841073","23.81066","38.01766","15234","Χαλάνδρι","Αγίας Παρασκευής","111"
"Αττικής-Χαλάνδρι","2106085400","23.83396","38.02575","15235","Χαλάνδρι","Αγίου Αντωνίου","1"
"Αττικής-Χολαργός","2106527300","23.79794","38.00330","15561","Χολαργός","Φανερωμένης","13"
